gene	inheritance
RPS6KA3	XL
RPS7	AD
RPSA	AD
RRAGC	AD
RRAS2	AD
RRM1	AR
RRM2B	AR
RRP7A	AR
RS1	XL
RSPH1	AR
RSPH3	AR
RSPH4A	AR
RSPH9	AR
RSPO1	AR
RSPO2	AR
RSPO4	AR
RSPRY1	AR
RSRC1	AR
RTEL1	AD/AR
RTN2	AD/AR
RTN4IP1	AR
RTTN	AR
RUBCN	AR
RUNX1	AD
RUNX2	AD
RUSC2	AR
RXFP2	AD
RXYLT1	AR
RYR1	AD/AR
RYR2	AD
RYR3	AR
S1PR2	AR
SACS	AR
SAG	AD/AR
SALL1	AD
SALL2	AR
SALL4	AD
SAMD12	AD
SAMD7	AR
SAMD9	AD/AR
SAMD9L	AD
SAMHD1	AR
SAR1B	AR
SARS1	AR
SARS2	AR
SART3	AD
SASH1	AR
SASH3	XL
SASS6	AR
SATB1	AD
SATB2	AD
SBDS	AD/AR
SBF1	AR
SBF2	AR
SC5D	AR
SCAF4	AD
SCAPER	AR
SCARB2	AR
SCARF2	AR
SCD5	AD
SCN10A	AD
SCN11A	AD
SCN1A	AD
SCN1B	AD
SCN2A	AD
SCN2B	AD
SCN3A	AD
SCN3B	AD
SCN4A	AD/AR
SCN4B	AD
SCN5A	AD/AR
SCN8A	AD
SCN9A	AD/AR
SCNM1	AR
SCNN1A	AD/AR
SCNN1B	AD/AR
SCNN1G	AD/AR
SCO1	AR
SCO2	AD/AR
SCP2	AR
SCUBE3	AR
SCYL1	AR
SCYL2	AR
SDCCAG8	AR
SDHA	AD/AR
SDHAF1	AR
SDHAF2	AD
SDHB	AD/AR
SDHC	AD
SDHD	AD/AR
SDR9C7	AR
SEC23A	AD/AR
SEC23B	AD/AR
SEC24D	AR
SEC31A	AR
SEC61A1	AD
SEC63	AD
SECISBP2	AR
SEL1L	AR
SELENBP1	AR
SELENOI	AR
SELENON	AR
SEMA3A	AD
SEMA3E	AD
SEMA4A	AR
SEMA6B	AD
SEMA7A	AR
SEPSECS	AR
SEPTIN12	AD
SEPTIN9	AD
SERAC1	AR
SERPINA1	AR
SERPINA6	AD/AR
SERPINA7	XL
SERPINB6	AR
SERPINB7	AR
SERPINB8	AR
SERPINC1	AD/AR
SERPIND1	AD
SERPINE1	AR
SERPINF1	AR
SERPINF2	AD/AR
SERPING1	AD/AR
SERPINH1	AR
SERPINI1	AD
SET	AD
SETBP1	AD
SETD1A	AD
SETD1B	AD
SETD2	AD
SETD5	AD
SETX	AD/AR
SF3B2	AD
SF3B4	AD
SFRP4	AR
SFTPA1	AD/AR
SFTPA2	AD
SFTPB	AR
SFTPC	AD
SFXN4	AR
SGCA	AR
SGCB	AR
SGCD	AR
SGCE	AD
SGCG	AR
SGMS2	AD
SGO1	AD
SGPL1	AR
SGSH	AR
SH2D1A	XL
SH3BP2	AD
SH3KBP1	XL
SH3PXD2B	AR
SH3TC2	AR
SHANK2	AD
SHANK3	AD
SHARPIN	AR
SHH	AD
SHMT2	AR
SHOC1	AR
SHOC2	AD
SHOX	XL
SHPK	AR
SHQ1	AR
SHROOM4	XL
SI	AR
SIAH1	AD
SIGMAR1	AR
SIK1	AD
SIK3	AR
SIL1	AR
SIN3A	AD
SIPA1L3	AR
SIX1	AD
SIX3	AD
SIX5	AD
SIX6	AD
SKI	AD
SKIV2L	AR
SLC10A2	AD
SLC10A7	AR
SLC11A2	AR
SLC12A1	AR
SLC12A2	AD/AR
SLC12A3	AR
SLC12A5	AR
SLC12A6	AD/AR
SLC13A3	AR
SLC13A5	AR
SLC16A1	AD/AR
SLC16A12	AD
SLC16A2	XL
SLC17A5	AR
SLC17A8	AD
SLC17A9	AD
SLC18A2	AR
SLC18A3	AR
SLC19A1	AR
SLC19A2	AR
SLC19A3	AR
SLC1A1	AR
SLC1A2	AD
SLC1A3	AD
SLC1A4	AR
SLC20A2	AD
SLC22A12	AR
SLC22A5	AR
SLC24A1	AR
SLC24A4	AR
SLC24A5	AR
SLC25A1	AR
SLC25A10	AR
SLC25A11	AD
SLC25A12	AR
SLC25A13	AR
SLC25A15	AR
SLC25A19	AR
SLC25A20	AR
SLC25A21	AR
SLC25A22	AR
SLC25A24	AD
SLC25A26	AR
SLC25A3	AR
SLC25A32	AR
SLC25A36	AR
SLC25A38	AR
SLC25A4	AD/AR
SLC25A42	AR
SLC25A46	AR
SLC26A1	AR
SLC26A2	AR
SLC26A3	AR
SLC26A4	AR
SLC26A5	AR
SLC26A8	AD
SLC27A4	AR
SLC28A1	AR
SLC29A3	AR
SLC2A1	AD/AR
SLC2A10	AR
SLC2A2	AR
SLC2A9	AD/AR
SLC30A10	AR
SLC30A2	AD
SLC30A7	AR
SLC30A9	AR
SLC31A1	AR
SLC32A1	AD
SLC33A1	AR
SLC34A1	AR
SLC34A2	AR
SLC34A3	AR
SLC35A1	AR
SLC35A2	XL
SLC35A3	AR
SLC35B2	AR
SLC35C1	AR
SLC35D1	AR
SLC36A2	AD/AR
SLC37A4	AR
SLC38A3	AR
SLC38A8	AR
SLC39A13	AR
SLC39A14	AD/AR
SLC39A4	AR
SLC39A5	AD
SLC39A7	AR
SLC39A8	AR
SLC3A1	AD/AR
SLC40A1	AD
SLC41A1	AR
SLC44A1	AR
SLC44A4	AD
SLC45A1	AR
SLC45A2	AD/AR
SLC46A1	AR
SLC4A1	AD/AR
SLC4A10	AR
SLC4A11	AD
SLC4A2	AR
SLC4A3	AD
SLC4A4	AD/AR
SLC51A	AR
SLC51B	AR
SLC52A1	AD
SLC52A2	AR
SLC52A3	AR
SLC5A1	AR
SLC5A2	AD/AR
SLC5A5	AR
SLC5A6	AR
SLC5A7	AR
SLC6A1	AD
SLC6A17	AR
SLC6A19	AR
SLC6A2	AD
SLC6A20	AD
SLC6A3	AR
SLC6A5	AR
SLC6A6	AR
SLC6A8	XL
SLC6A9	AR
SLC7A14	AR
SLC7A6OS	AR
SLC7A7	AR
SLC7A9	AD/AR
SLC9A1	AR
SLC9A3	AR
SLC9A3R1	AD
SLC9A6	XL
SLC9A7	XL
SLC9A9	AD
SLCO1B1	AD
SLCO2A1	AD/AR
SLF2	AR
SLFN14	AR
SLITRK1	AD
SLITRK2	XL
SLITRK6	AR
SLURP1	AD/AR
SLX4	AR
SMAD2	AD
SMAD3	AD
SMAD4	AD
SMAD6	AD
SMAD9	AD
SMARCA2	AD
SMARCA4	AD
SMARCAD1	AD
SMARCAL1	AR
SMARCB1	AD
SMARCC1	AD
SMARCC2	AD
SMARCD1	AD
SMARCD2	AR
SMARCE1	AD
SMC1A	XL
SMC3	AD
SMC5	AR
SMCHD1	AD
SMG8	AR
SMG9	AR
SMN1	AR
SMN2	AD
SMO	AR
SMOC1	AR
SMOC2	AR
SMPD1	AR
SMPD4	AR
SMPX	XL
SMS	XL
SNAI2	AR
SNAP25	AD
SNAP29	AR
SNAPC4	AR
SNCA	AD
SNCAIP	AD
SNCB	AD
SNF8	AR
SNIP1	AR
SNORA31	AD
SNORD118	AR
SNRNP200	AD
SNRPB	AD
SNRPE	AD
SNTA1	AD
SNUPN	AR
SNX10	AR
SNX14	AR
SOBP	AR
SOCS1	AD
SOD1	AD/AR
SOHLH1	AR
SON	AD
SORD	AR
SOS1	AD
SOS2	AD
SOST	AD/AR
SOX10	AD
SOX11	AD
SOX17	AD
SOX18	AD/AR
SOX2	AD
SOX3	XL
SOX4	AD
SOX5	AD
SOX6	AD
SOX9	AD
SP110	AR
SP6	AD
SP7	AR
SPACA1	AR
SPAG1	AR
SPAG17	AR
SPARC	AD/AR
SPART	AR
SPAST	AD
SPATA16	AR
SPATA22	AR
SPATA5	AR
SPATA5L1	AR
SPATA7	AR
SPECC1L	AD
SPEF2	AR
SPEG	AR
SPEN	AD
SPG11	AR
SPG21	AR
SPG7	AR
SPI1	AD
SPIDR	AR
SPIN4	XL
SPINK1	AD/AR
SPINK2	AR
SPINK5	AR
SPINT2	AD
SPNS2	AR
SPOP	AD
SPPL2A	AR
SPR	AR
SPRED1	AD
SPRED2	AR
SPRY2	AD
SPRY4	AD
SPTA1	AD/AR
SPTAN1	AD
SPTB	AD/AR
SPTBN1	AD
SPTBN2	AD/AR
SPTBN4	AR
SPTLC1	AD
SPTLC2	AD
SPTSSA	AD/AR
SPZ1	AR
SQOR	AR
SQSTM1	AD
SRC	AD
SRCAP	AD
SRD5A2	AR
SRD5A3	AR
SREBF1	AD
SRP54	AD
SRP68	AR
SRP72	AD
SRPK3	XL
SRPX2	XL
SRRM2	AD
SRSF1	AD
SRY	YL
SSBP1	AD
SSR4	XL
SSTR5	AD
SSX1	XL
ST14	AR
ST3GAL3	AR
ST3GAL5	AR
STAC3	AR
STAG1	AD
STAG2	XL
STAG3	AR
STAMBP	AR
STAR	AR
STARD7	AD
STAT1	AD/AR
STAT2	AR
STAT3	AD
STAT4	AD
STAT5B	AD/AR
STAT6	AD
STEAP3	AD
STEEP1	XL
STIL	AR
STIM1	AD/AR
STING1	AD
STK11	AD
STK33	AR
STK36	AR
STK4	AR
STN1	AR
STRA6	AR
STRADA	AR
STRC	AR
STRTS	AD
STS	XL
STT3A	AD/AR
STT3B	AR
STUB1	AD/AR
STX11	AR
STX16	AD
STX1B	AD
STX4	AR
STX5	AR
STXBP1	AD
STXBP2	AR
SUCLA2	AR
SUCLG1	AR
SUFU	AD
SUGCT	AR
SULT2B1	AR
SUMF1	AR
SUMO1	AD
SUN5	AR
SUOX	AR
SUPT16H	AD
SURF1	AR
SUZ12	AD
SV2A	AR
SVBP	AR
SVIL	AR
SYCE1	AR
SYCP2	AD
SYCP2L	AR
SYCP3	AD
SYK	AD
SYN1	XL
SYNE1	AD
SYNE2	AD
SYNE4	AR
SYNGAP1	AD
SYNJ1	AR
SYP	XL
SYT1	AD
SYT14	AR
SYT2	AD/AR
SZT2	AR
TAB2	AD
TAC3	AR
TACO1	AR
TACR3	AR
TACSTD2	AR
TAF1	XL
TAF13	AR
TAF2	AR
TAF4	AD
TAF4B	AR
TAF6	AR
TAF8	AR
TAFAZZIN	XL
TALDO1	AR
TAMM41	AR
TANC2	AD
TANGO2	AR
TAOK1	AD
TAP1	AR
TAP2	AR
TAPBP	AR
TARDBP	AD
TARS1	AR
TARS2	AR
TAS2R16	AD
TAS2R38	AD
TASP1	AR
TAT	AR
TBC1D20	AR
TBC1D23	AR
TBC1D24	AD/AR
TBC1D2B	AR
TBC1D4	AR
TBC1D7	AR
TBC1D8B	XL
TBCD	AR
TBCE	AR
TBCK	AR
TBK1	AD/AR
TBL1X	XL
TBL1XR1	AD
TBL1Y	YL
TBP	AD/AR
TBR1	AD
TBX1	AD
TBX15	AR
TBX18	AD
TBX19	AR
TBX2	AD
TBX20	AD
TBX21	AR
TBX22	XL
TBX3	AD
TBX4	AD
TBX5	AD
TBX6	AD/AR
TBXA2R	AD
TBXAS1	AR
TBXT	AD
TCAP	AD/AR
TCEAL1	XL
TCF12	AD
TCF20	AD
TCF3	AD/AR
TCF4	AD
TCHH	AR
TCIRG1	AR
TCN2	AR
TCOF1	AD
TCP1	AD
TCTN1	AR
TCTN2	AR
TCTN3	AR
TDGF1	AD
TDO2	AD
TDP1	AR
TDP2	AR
TDRD7	AR
TDRD9	AR
TEAD1	AD
TECPR2	AR
TECR	AR
TECRL	AR
TECTA	AD/AR
TEFM	AR
TEK	AD
TEKT3	AR
TELO2	AR
TENM1	AR
TENM3	AR
TENM4	AD
TENT5A	AR
TERB1	AR
TERB2	AR
TERC	AD
TERT	AD/AR
TET2	AR
TET3	AD/AR
TEX11	XL
TEX14	AR
TEX15	AR
TF	AR
TFAM	AR
TFAP2A	AD
TFAP2B	AD
TFE3	XL
TFG	AR
TFR2	AR
TFRC	AR
TG	AR
TGDS	AR
TGFB1	AD/AR
TGFB2	AD
TGFB3	AD
TGFBI	AD
TGFBR1	AD
TGFBR2	AD
TGIF1	AD
TGM1	AR
TGM3	AR
TGM5	AR
TGM6	AD
TH	AR
THAP1	AD
THAP11	AD
THBD	AD
THG1L	AR
THOC1	AD
THOC2	XL
THOC6	AR
THPO	AD/AR
THRA	AD
THRB	AD/AR
THSD1	AD/AR
THSD4	AD
THUMPD1	AR
TIA1	AD
TIAM1	AR
TICAM1	AD/AR
TIMELESS	AD
TIMM22	AR
TIMM50	AR
TIMM8A	XL
TIMMDC1	AR
TIMP3	AD
TINF2	AD
TJP2	AR
TK2	AR
TKFC	AR
TKT	AR
TLCD3B	AR
TLE6	AR
TLK2	AD
TLL1	AD
TLR3	AD/AR
TLR7	XL
TLR8	XL
TM4SF20	AD
TMC1	AR
TMC6	AR
TMC8	AR
TMCO1	AR
TMEM106B	AR
TMEM107	AR
TMEM126A	AR
TMEM126B	AR
TMEM127	AD
TMEM132E	AR
TMEM138	AR
TMEM147	AR
TMEM151A	AD
TMEM163	AD
TMEM165	AR
TMEM199	AR
TMEM216	AR
TMEM218	AR
TMEM222	AR
TMEM231	AR
TMEM237	AR
TMEM240	AD
TMEM251	AR
TMEM260	AR
TMEM38B	AR
TMEM43	AD
TMEM53	AR
TMEM63A	AD
TMEM63C	AR
TMEM67	AR
TMEM70	AR
TMEM94	AR
TMEM98	AD
TMIE	AR
TMLHE	AD
TMPO	AD
TMPRSS15	AR
TMPRSS3	AR
TMPRSS6	AR
TMTC3	AR
TMTC4	AR
TMX2	AR
TNC	AD
TNFAIP3	AD
TNFRSF10B	AD
TNFRSF11A	AD/AR
TNFRSF11B	AR
TNFRSF13B	AD/AR
TNFRSF13C	AR
TNFRSF1A	AD
TNFRSF4	AR
TNFRSF9	AR
TNFSF11	AR
TNIK	AR
TNNC1	AD
TNNC2	AD
TNNI2	AD
TNNI3	AD/AR
TNNI3K	AD
TNNT1	AD/AR
TNNT2	AD
TNNT3	AD
TNPO2	AD
TNPO3	AD
TNRC6A	AD
TNRC6B	AD
TNXB	AD/AR
TOE1	AR
TOGARAM1	AR
TOM1	AD
TOMM7	AR
TONSL	AR
TOP2B	AD
TOP3A	AR
TOPORS	AD
TOR1A	AD/AR
TOR1AIP1	AR
TOR1AIP2	AR
TP53	AD
TP53RK	AR
TP63	AD
TP73	AR
TPCN2	AD
TPH2	AD
TPI1	AR
TPK1	AR
TPM1	AD
TPM2	AD
TPM3	AD/AR
TPM4	AD
TPMT	AR
TPO	AR
TPP1	AR
TPP2	AR
TPR	AR
TPRKB	AR
TPRN	AR
TPSAB1	AD
TRAC	AR
TRAF3	AD
TRAF3IP1	AR
TRAF3IP2	AR
TRAF7	AD
TRAIP	AR
TRAK1	AR
TRAP1	AR
TRAPPC11	AR
TRAPPC12	AR
TRAPPC14	AR
TRAPPC2	XL
TRAPPC2L	AR
TRAPPC4	AR
TRAPPC6B	AR
TRAPPC9	AR
TRDN	AR
TREH	AR
TREM2	AR
TREX1	AD/AR
TRHR	AR
TRIM2	AR
TRIM32	AR
TRIM36	AR
TRIM37	AR
TRIM44	AD
TRIM71	AD
TRIM8	AD
TRIO	AD
TRIOBP	AR
TRIP11	AR
TRIP12	AD
TRIP13	AR
TRIP4	AR
TRIT1	AR
TRMT1	AR
TRMT10A	AR
TRMT10C	AR
TRMT5	AR
TRMU	AD/AR
TRNI	MT
TRNP	MT
TRNT	MT
TRNT1	AR
TRPA1	AD
TRPC3	AD
TRPC6	AD
TRPM1	AR
TRPM3	AD
TRPM4	AD
TRPM6	AR
TRPS1	AD
TRPV3	AD
TRPV4	AD
TRPV6	AR
TRRAP	AD
TRU-TCA1-1	AR
TSC1	AD
TSC2	AD
TSEN15	AR
TSEN2	AR
TSEN34	AR
TSEN54	AR
TSFM	AR
TSGA10	AR
TSHB	AR
TSHR	AD/AR
TSHZ1	AD
TSPAN12	AD/AR
TSPAN7	XL
TSPEAR	AR
TSPOAP1	AR
TSPYL1	AR
TSR2	XL
TTBK2	AD
TTC12	AR
TTC19	AR
TTC21A	AR
TTC21B	AR
TTC26	AR
TTC29	AR
TTC37	AR
TTC5	AR
TTC7A	AR
TTC8	AR
TTI1	AR
TTI2	AR
TTLL5	AR
TTN	AD/AR
TTPA	AR
TTR	AD
TUB	AR
TUBA1A	AD
TUBA3D	AD
TUBA4A	AD
TUBA8	AD/AR
TUBB	AD
TUBB1	AD
TUBB2A	AD
TUBB2B	AD
TUBB3	AD/AR
TUBB4A	AD
TUBB4B	AD
TUBB6	AD
TUBB8	AD/AR
TUBG1	AD
TUBGCP2	AR
TUBGCP4	AR
TUBGCP6	AR
TUFM	AR
TUFT1	AR
TULP1	AR
TULP3	AR
TUSC3	AR
TWIST1	AD
TWIST2	AD/AR
TWNK	AR
TXN2	AR
TXNDC15	AR
TXNL4A	AR
TXNRD2	AR
TYK2	AR
TYMP	AR
TYR	AR
TYROBP	AR
TYRP1	AR
U2AF2	AD
UBA1	XL
UBA2	AD
UBA5	AR
UBAP1	AD
UBAP2L	AD
UBE2A	XL
UBE2T	AR
UBE3A	AD
UBE3B	AR
UBE3C	AR
UBE4A	AR
UBIAD1	AD
UBQLN2	XL
UBR1	AR
UBR7	AR
UBTF	AD
UCHL1	AD
UFC1	AR
UFM1	AR
UFSP2	AD
UGDH	AR
UGP2	AR
UGT1A1	AD/AR
UMOD	AD
UMPS	AR
UNC119	AD
UNC13D	AR
UNC45A	AR
UNC45B	AD
UNC80	AR
UNC93B1	AR
UNG	AD
UPB1	AR
UPF3B	XL
UPK3A	AD
UQCC2	AR
UQCC3	AR
UQCRB	AR
UQCRC1	AD
UQCRC2	AR
UQCRFS1	AR
UQCRH	AR
UQCRQ	AR
UROC1	AR
UROD	AD/AR
UROS	AR
USB1	AR
USH1C	AR
USH1G	AR
USH2A	AR
USP18	AR
USP25	AD
USP26	XL
USP27X	XL
USP45	AR
USP48	AD
USP53	AR
USP7	AD
USP9X	XL
USP9Y	YL
UTP4	AR
UVSSA	AR
VAC14	AR
VAMP1	AR
VAMP2	AD
VANGL1	AD
VANGL2	AD
VAPB	AD
VARS1	AR
VARS2	AR
VAX1	AR
VCAN	AD
VCL	AD
VCP	AD
VDR	AD/AR
VEGFC	AD
VEZF1	AD
VHL	AD/AR
VIM	AD
VIPAS39	AR
VKORC1	AD/AR
VLDLR	AR
VMA21	XL
VPS11	AR
VPS13A	AR
VPS13B	AR
VPS13C	AR
VPS13D	AR
VPS16	AD/AR
VPS33A	AR
VPS33B	AR
VPS35	AD
VPS35L	AR
VPS37A	AR
VPS39	AD
VPS41	AR
VPS45	AR
VPS4A	AD
VPS50	AR
VPS51	AR
VPS53	AR
VRK1	AR
VSX1	AD
VSX2	AR
VWA1	AR
VWA3B	AR
VWA8	AD
VWF	AD
WAC	AD
WARS1	AD
WARS2	AR
WAS	XL
WASF1	AD
WASHC4	AR
WASHC5	AR
WBP11	AD
WBP2	AR
WBP4	AR
WDFY3	AD
WDPCP	AR
WDR11	AD
WDR19	AD/AR
WDR26	AD
WDR35	AR
WDR37	AD
WDR4	AR
WDR45	XL
WDR45B	AR
WDR62	AR
WDR72	AR
WDR73	AR
WDR81	AR
WDR83OS	AR
WEE2	AR
WFDC2	AR
WFS1	AR
WHRN	AR
WIPF1	AR
WIPI2	AR
WNK1	AD/AR
WNK3	XL
WNK4	AD
WNT1	AD/AR
WNT10A	AR
WNT10B	AD/AR
WNT2B	AR
WNT3	AR
WNT4	AD/AR
WNT5A	AD
WNT7A	AR
WRAP53	AR
WRN	AR
WT1	AD
WWOX	AR
XDH	AR
XIAP	XL
XIST	XL
XK	XL
XPA	AR
XPC	AR
XPNPEP2	XL
XPNPEP3	AR
XPR1	AD
XRCC1	AR
XRCC2	AR
XRCC4	AR
XYLT1	AR
XYLT2	AR
YAP1	AD
YARS1	AR
YARS2	AR
YEATS2	AD
YIF1B	AR
YIPF5	AR
YME1L1	AR
YWHAG	AD
YWHAZ	AD
YY1	AD
YY1AP1	AR
ZAP70	AR
ZBTB11	AR
ZBTB16	AR
ZBTB18	AD
ZBTB20	AD
ZBTB24	AR
ZBTB42	AR
ZBTB7A	AD
ZC3H14	AR
ZC4H2	XL
ZCCHC8	AD
ZDHHC15	XL
ZDHHC9	XL
ZEB1	AD
ZEB2	AD
ZFHX2	AD
ZFHX3	AD
ZFP36L2	AR
ZFP57	AD
ZFPM2	AD
ZFX	XL
ZFYVE19	AR
ZFYVE26	AR
ZFYVE27	AD
ZIC1	AD
ZIC2	AD
ZIC3	XL
ZIM2	AD
ZMIZ1	AD
ZMPSTE24	AD/AR
ZMYM2	AD
ZMYM3	XL
ZMYND10	AR
ZMYND11	AD
ZMYND15	AR
ZNF141	AR
ZNF142	AR
ZNF148	AD
ZNF292	AD
ZNF335	AR
ZNF341	AR
ZNF407	AR
ZNF408	AD/AR
ZNF41	XL
ZNF423	AD/AR
ZNF462	AD
ZNF469	AR
ZNF480	AD
ZNF513	AR
ZNF526	AR
ZNF565	AD
ZNF592	AR
ZNF644	AD
ZNF668	AR
ZNF674	XL
ZNF687	AD
ZNF699	AR
ZNF711	XL
ZNF750	AD
ZNF808	AR
ZNF81	XL
ZNF862	AD
ZNFX1	AR
ZNHIT3	AR
ZP1	AR
ZP2	AR
ZP3	AD
ZPBP	AR
ZPR1	AR
ZRSR2	XL
ZSCAN10	AR
ZSWIM6	AD
ZSWIM7	AR
